"nome","linguagem","total_pr_aceitas","total_releases","data_coleta"
"docling-project/docling","Python",1137,206,"2026-08-19T14:04:57.322Z"
"localstack/localstack","Python",6814,106,"2026-08-19T14:04:57.322Z"
"Mintplex-Labs/anything-llm","JavaScript",1566,34,"2026-08-19T14:04:57.322Z"
"shanraisshan/claude-code-best-practice","HTML",48,0,"2026-08-19T14:04:57.322Z"
"gsd-build/get-shit-done","JavaScript",1202,78,"2026-08-19T14:04:57.322Z"
"nocodb/nocodb","TypeScript",6481,199,"2026-08-19T14:04:57.322Z"
"traefik/traefik","Go",5522,553,"2026-08-19T14:04:57.322Z"
"warpdotdev/warp","Rust",2165,56,"2026-08-19T14:04:57.322Z"
"ryanoasis/nerd-fonts","CSS",610,39,"2026-08-19T14:04:57.322Z"
"keras-team/keras","Python",5204,93,"2026-08-19T14:04:57.322Z"
"tw93/Mole","Shell",335,61,"2026-08-19T14:04:57.322Z"
"scrapy/scrapy","Python",2806,52,"2026-08-19T14:04:57.322Z"
"rust-lang/rustlings","Rust",952,46,"2026-08-19T14:04:57.322Z"
"mem0ai/mem0","Python",2512,381,"2026-08-19T14:04:57.322Z"
"commaai/openpilot","Python",13300,63,"2026-08-19T14:04:57.322Z"
"FFmpeg/FFmpeg","C",0,0,"2026-08-19T14:04:57.322Z"
"tldr-pages/tldr","Markdown",19504,6,"2026-08-19T14:04:57.322Z"
"ZhuLinsen/daily_stock_analysis","Python",672,34,"2026-08-19T14:04:57.322Z"
"socketio/socket.io","TypeScript",450,98,"2026-08-19T14:04:57.322Z"
"asgeirtj/system_prompts_leaks","JavaScript",32,0,"2026-08-19T14:04:57.322Z"
"NanmiCoder/MediaCrawler","Python",142,0,"2026-08-19T14:04:57.322Z"
"virattt/ai-hedge-fund","Python",53,11,"2026-08-19T14:04:57.322Z"
"resume/resume.github.com","JavaScript",84,0,"2026-08-19T14:04:57.322Z"
"jgraph/drawio-desktop","JavaScript",42,187,"2026-08-19T14:04:57.322Z"
"git/git","C",4,0,"2026-08-19T14:04:57.322Z"
"pathwaycom/pathway","Python",30,89,"2026-08-19T14:04:57.322Z"
"usememos/memos","Go",2079,96,"2026-08-19T14:04:57.322Z"
"topjohnwu/Magisk","Kotlin",1723,156,"2026-08-19T14:04:57.322Z"
"youngyangyang04/leetcode-master","Shell",2311,0,"2026-08-19T14:04:57.322Z"
"karpathy/nanoGPT","Python",45,0,"2026-08-19T14:04:57.322Z"
"withastro/astro","TypeScript",9221,1000,"2026-08-19T14:04:57.322Z"
"PlexPt/awesome-chatgpt-prompts-zh","N/A",33,0,"2026-08-19T14:04:57.322Z"
"sansan0/TrendRadar","Python",2,0,"2026-08-19T14:04:57.322Z"
"reduxjs/redux","TypeScript",1767,78,"2026-08-19T14:04:57.322Z"
"FuelLabs/sway","Rust",3715,189,"2026-08-19T14:04:57.322Z"
"minio/minio","Go",9882,521,"2026-08-19T14:04:57.322Z"
